"","country","donations","receipts","net_donations"
"156","Ukraine",0,2359096447,-2359096447
"157","Mali",0,2454230826,-2454230826
"158","Jordan",0,2534195698,-2534195698
"159","Palestinian Adm. Areas",0,2658922036,-2658922036
"160","Mozambique",0,2723181508,-2723181508
"161","Colombia",0,2852212681,-2852212681
"162","Ethiopia",0,3161148521,-3161148521
"163","Kenya",0,3226405557,-3226405557
"164","Mexico",0,3250848015,-3250848015
"165","Philippines",0,3374716987,-3374716987
"166","Tanzania",0,3524141032,-3524141032
"167","Pakistan",0,3648962110,-3648962110
"168","Nigeria",0,3767429921,-3767429921
"169","Bangladesh",0,5312741781,-5312741781
"170","Morocco",0,5385117347,-5385117347
"171","Indonesia",0,5813383406,-5813383406
"172","Afghanistan",0,6654715941,-6654715941
"173","Myanmar",0,6861162224,-6861162224
"174","Brazil",0,7073020172,-7073020172
"175","Viet Nam",0,7937785616,-7937785616
"176","China",0,8265151606,-8265151606
"177","Turkey",0,8345412742,-8345412742
"178","Egypt",0,8664124938,-8664124938
"179","India",0,9520288319,-9520288319
